Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
Benzophenone-3,131-57-7,228.12,14.1256756,Unknown,Logistic,uM,76.13,-1.551,767.9,uM,227.1238953,uM
Butyl paraben,94-26-8,194.23,11.92464915,Unknown,Sigmoid,uM,99.22,70.05,345,uM,191.7340339,uM
Cobalt chloride,3032536,129.84,16.96118259,Unknown,Chapman,uM,91.6305,0.0033,4.2342,uM,272.7154415,uM
Cupric sulfate,7758-98-7,249.69,0.332667122,Unknown,Logistic,uM,107.3913,-0.8818,70.6785,uM,5.348887707,uM
Lead chloride,88-85-7,278.11,23.63351382,Unknown,Chapman,uM,83.3306,0.0023,3.9014,uM,379.9985128,uM
Cadmium chloride,10108-64-2,183.32,0.052314533,Unknown,Logistic,uM,99.761,-1.1646,5.5365,uM,0.841154843,uM
Sodium selenite,10102-18-8,172.94,0.262022955,Unknown,Gompertz,uM,102.1707,68.1542,61.6886,uM,4.213014368,uM
Zinc sulfate heptahydrate,7446-20-0,287.56,15.11316946,Unknown,Chapman,uM,98.2868,0.0128,50.1565,uM,243.0016104,uM
Antimony(III) chloride,10025-91-9,228.12,4.311647023,Unknown,Chapman,uM,104.9264,0.0051,1.9319,uM,69.32610481,uM
Nickel dichloride ,7718-54-9,129.6,13.28315775,Unknown,Chapman,uM,85.1707,0.0083,11.5912,uM,213.5772204,uM
