Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
"2,4-D",94-75-7,221.04,5.665394355,Scenedesmus vacuolatus,GL,uM,-37.54,11.106,0.1392,uM,856,uM
Aclonifen,74070-46-5,264.67,0.18785255,Scenedesmus vacuolatus,BCW,uM,2.402,0.408,-0.34,uM,0.0297,uM
Alachlor,15972-60-8,269.77,3.926018895,Scenedesmus vacuolatus,Weibull,uM,4.009,5.127,,uM,0.14,uM
Atrazine,1912-24-9,215.69,12.10108356,Scenedesmus vacuolatus,GL,uM,6.765,17.391,0.1118,uM,0.18,uM
Bromoxynil,1689-84-5,276.91,3.230268711,Scenedesmus vacuolatus,Logit,uM,-19.6,9.267,,uM,130,uM
Carbofuran,1563-66-2,380.54,2.683607852,Scenedesmus vacuolatus,Weibull,uM,-4.564,1.978,,uM,132,uM
Chloridazon,1698-60-8,221.65,11.40533337,Scenedesmus vacuolatus,Weibull,uM,-2.375,2.777,,uM,5.29,uM
Cycloxydim,101205-02-1,325.47,9.094448833,Scenedesmus vacuolatus,Weibull,uM,-5.232,1.99,,uM,278,uM
Ethofumesate,26225-79-6,286.35,1.545559337,Scenedesmus vacuolatus,Weibull,uM,-2.126,1.108,,uM,38.7,uM
Ioxynil,1689-83-4,370.92,0.491994773,Scenedesmus vacuolatus,Weibull,uM,-3.785,2.229,,uM,34.2,uM
Isofenphos,25311-71-1,345.39,0.288239362,Scenedesmus vacuolatus,GL,uM,-3.373,2.186,0.4219,uM,7.76,uM
Isoproturon,34123-59-6,206.29,0.360299202,Scenedesmus vacuolatus,BCW,uM,1.246,1.073,-0.0235,uM,0.228,uM
Isoxaflutole,141112-29-0,359.32,0.767810024,Scenedesmus vacuolatus,Weibull,uM,-5.313,2.529,,uM,90.4,uM
Lenacil,2164-08-1,234.3,1.113200294,Scenedesmus vacuolatus,GL,uM,14.991,14.338,0.1845,uM,0.0495,uM
Linuron,330-55-2,249.1,1.292107484,Scenedesmus vacuolatus,Weibull,uM,1.769,2.02,,uM,0.0877,uM
MCPA,94-74-6,200.62,3.926018895,Scenedesmus vacuolatus,Probit,uM,-4.501,1.551,,uM,798,uM
Metamitron,41394-05-2,202.22,29.56938282,Scenedesmus vacuolatus,Weibull,uM,-0.995,1.912,,uM,2.13,uM
Metolachlor,51218-45-2,283.8,6.460537422,Scenedesmus vacuolatus,BCW,uM,0.239,3.156,0.493,uM,0.818,uM
Pendimethalin,40487-42-1,281.31,0.01299562,Scenedesmus vacuolatus,Weibull,uM,5.752,2.957,,uM,0.00853,uM
Terbuthylazine,5915-41-3,229.71,5.267822821,Scenedesmus vacuolatus,Weibull,uM,4.165,3.908,,uM,0.0693,uM
Thifensulfuron-methyl,79277-27-3,387.38,0.053175193,Scenedesmus vacuolatus,Logit,uM,-2.093,1.837,,uM,13.8,uM
Triasulfuron,82097-50-5,401.82,0.191579783,Scenedesmus vacuolatus,Weibull,uM,0.093,1.684,,uM,0.533,uM
Tribenuron-methyl,101200-48-0,395.39,0.365268847,Scenedesmus vacuolatus,Weibull,uM,0.67,1.735,,uM,0.253,uM
